,Unnamed: 0,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
20,2014-04-13,6.5,-1.5,0.25,0.34474153297682714,0.0886566550946898,0.04689100694444445,0.0,0.02488844907407408,0.004687372685185185,0.0,0.18181818181818185,0.008220162037037031,0.014231284722222228
21,2014-04-14,7.25,-0.25,0.75,0.17874293785310735,0.05166069443579071,0.023181886574074082,0.00034067129629629633,0.008118900462962965,0.0,0.0,0.18181818181818185,0.006610451388888886,0.012885798611111112
22,2014-04-15,7.0,-0.4,0.6,0.20056360708534607,0.07801134259060577,0.04479461805555557,0.0008292361111111111,0.03242193287037038,0.0002106712962962963,0.00013953703703703703,0.5454545454545454,0.012385104166666657,0.017237222222222227
23,2014-04-16,7.6,0.0,0.4,0.14506508485747238,0.1843697222073873,0.07605623842592596,0.0002141203703703704,0.04180164351851852,0.0009332291666666666,0.0,0.09090909090909093,0.028176435185185183,0.022172187500000003
24,2014-04-17,6.8,0.2,0.6,0.15167069243156198,0.14273966436308844,0.0518816087962963,0.0034489814814814817,0.031963634259259265,0.00043171296296296295,0.0,0.09090909090909093,0.03737984953703707,0.007198773148148145
25,2014-04-18,6.25,-1.0,0.5,0.14621547543748678,0.0816232986251513,0.040217094907407394,0.00011657407407407408,0.010572488425925926,0.003841782407407407,0.0,0.2727272727272727,0.023818298611111118,0.008271666666666663
26,2014-04-19,6.8,0.2,0.6,0.09826388888888894,0.060590034731560286,0.03565508101851852,0.0,0.002186574074074074,0.0013451620370370369,0.0,0.3636363636363637,0.01375524305555555,0.00690824074074074
35,2014-04-28,6.75,-0.25,0.5,0.17232443482443485,0.07575287037977466,0.048116516203703705,0.0003643865740740741,0.0182159375,0.0,0.0,0.0,0.012897233796296292,0.0005817476851851854
36,2014-04-29,7.25,0.0,1.0,0.1751971158833905,0.0987297685278786,0.048891041666666656,5.092592592592593e-07,0.051436064814814816,0.0,0.0,0.18181818181818185,0.02409217592592591,0.016480081018518517
37,2014-04-30,6.8,-0.6,0.6,0.10888427751577054,0.09996939813925157,0.04365648148148147,0.0010667476851851851,0.018576724537037032,0.0007382754629629629,0.0,0.09090909090909093,0.02782494212962965,0.00912975694444444
38,2014-05-01,8.0,0.0,1.0,0.32672684458398754,0.03793222222339224,0.013251041666666668,0.00012771990740740742,0.013965138888888888,0.003201979166666667,0.0,0.18181818181818185,0.01940406249999999,0.003363599537037036
39,2014-05-02,7.2,-0.75,1.0,0.18526365348399249,0.07916565970138273,0.029539780092592595,0.0,0.031146319444444456,0.003048298611111111,8.21875e-05,0.3636363636363637,0.004486550925925925,0.010601655092592591
40,2014-05-03,6.25,-0.75,0.0,0.22025871459694987,0.01674333333141275,0.01151744212962963,0.0014318402777777778,0.0057243865740740744,0.0,0.0,0.0,0.002717233796296296,4.640046296296297e-05
41,2014-05-04,7.6,-0.8,0.75,0.16709055715309384,0.04494503471586441,0.01820575231481481,0.0,0.01655990740740741,4.646990740740741e-05,0.0,0.0,0.0031539699074074074,0.0042364004629629635
42,2014-05-05,7.0,-0.6666666666666666,0.6666666666666666,0.08203703703703702,0.061534988424844214,0.028445937500000008,0.0,0.023178842592592598,0.0006535185185185187,0.0,0.0,0.008598773148148142,0.0002803703703703704
